name,dealer,type,how-to-earn,dealer-cosplay,fandom,days
Me Hearty Crew!,Heydensan Cosplay,Exclusive,"Five Night’s At Freddy’s Karaoke, Five Night’s At Freddy’s Photoshoot, FNAF Cosplay.",Foxy the Pirate from Five Night’s At Freddy’s,Five Night’s At Freddy’s,"Friday, Saturday"
I use my bonus action to buy!,Sue - Merch Coordinator,Achievement,"Making a purchase at the merch booth. If you pre-ordered merch, you will get one when you pick up your pre-orders.",Behind the merch booth,,"Friday, Saturday, Sunday"
What matters is you not the state of you,Atlas,Connection,Either me seeing them in a heavens cosplay and giving one or just asking!,Xie lian or hornet cosplay,Heaven officials blessing,"Friday, Saturday, Sunday"
LoveHate,Valentine and Leo,Connection,Tell me your favorite Alien Stage song!,Ivan and Till or Mizi and Sua,Alien Stage,"Friday, Saturday"
Seduce the Chimera,Valentine and Leo,Connection,Roll a D20 :),Falin and Marcille,Dungeon Meshi,Sunday
"Argument Between ""Roommates""",Valentine and Leo,Connection,Get into a friendly debate with one of us about something absurd.,Kaveh and Al-Haitham,Genshin Impact,Saturday
"Eats, Shoots, Leaves",Kile McCurdy,Action,Get your photo taken,Staff Shirt,N/A,"Friday, Saturday, Sunday"
Top Tier,Sam,Action,"1. Politely approach Sam while he's holding his tier list board
2. When it is your turn, place a new character on the board or swap two characters' positions based on the current day's theme
3. Take a picture pointing to the character(s) you just placed/swapped
4. Politely approach Thomas and show him the picture you took",Sam will be wearing a solid black t-shirt and carrying his signature tier list board.,N/A,"Friday, Saturday, Sunday"
988 Suicide & Crisis Lifeline,srsbznss/Thomas,Connection,Ask Thomas for one,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",N/A,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Set Your Heart Ablaze,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Kyojuro Rengoku cosplay
 - Show Thomas a picture you took (with permission) of someone in Kyojuro Rengoku cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced Kyojuro Rengoku, another Hashira, Tanjiro Kamado, Zenitsu Agatsuma, Inosuke Hashibira, or Gonpachiro Kamaboko from Demon Slayer
 - Show Thomas Kyojuro Rengoku merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Demon Slayer - Kyojuro Rengoku,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Property of Ainz Ooal Gown,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Overlord cosplay
 - Show Thomas a picture you took (with permission) of someone in Overlord cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Overlord
 - Show Thomas Overlord merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Overlord,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
All Out of Money,srsbznss/Thomas,Achievement,Somehow convince Thomas that you don't have any money,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",N/A,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
ash nazg durbatulûk,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Lord of the Rings cosplay
 - Show Thomas a picture you took (with permission) of someone in Lord of the Rings cosplay at Nebkon 2025
 - Show Thomas Lord of the Rings merch that you've purchased (online photos don't count!)
 - Tell Thomas what ""ash nazg durbatulûk"" means","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Lord of the Rings,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
The Bad Batch,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Star Wars cosplay
 - Show Thomas a picture you took (with permission) of someone in Star Wars cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in an animated Star Wars show or movie
 - Show Thomas Star Wars merch that you've purchased (online photos don't count!)
 - Tell Thomas who your favorite character of The Bad Batch series is and why","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Star Wars,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Certifiably Funny,srsbznss/Thomas,Achievement,Make Thomas laugh,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",N/A,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Keep Calm & Chibaku Tensei,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Naruto cosplay
 - Show Thomas a picture you took (with permission) of someone in Naruto cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Naruto
 - Show Thomas Naruto merch that you've purchased (online photos don't count!)
 - Perform your best chibaku tensei","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Naruto,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Crime Coefficient Under 50,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Psycho-Pass cosplay
 - Show Thomas a picture you took (with permission) of someone in Psycho-Pass cosplay from Nebkon
 - Show Thomas a picture/autograph/video you received from a guest that voiced a character in Psycho-Pass
 - Show Thomas Psycho-Pass merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Psycho-Pass,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Darling,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in My Dress-Up Darling cosplay
 - Show Thomas a picture you took (with permission) of someone in My Dress-Up Darling cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in My Dress-Up Darling, such as AmaLee
 - Show Thomas My Dress-Up Darling merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",My Dress-Up Darling,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Destroy,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Demon Slayer cosplay
 - Show Thomas a picture you took (with permission) of someone cosplaying a member of the Demon Slayer Corp. in Demon Slayer at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a member of the Demon Slayer Corps. in Demon Slayer, such as Zeno Robinson
 - Show Thomas Demon Slayer merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Demon Slayer,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Fairy Tail,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Fairy Tail cosplay
 - Show Thomas a picture you took (with permission) of someone in Fairy Tail cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Fairy Tail
 - Show Thomas Fairy Tail merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Fairy Tail,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Fear is the Mind-Killer,srsbznss/Thomas,Achievement,Recite the Litany Against Fear to Thomas (from memory),"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Dune,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
I Have No Enemies,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Vinland Saga cosplay
 - Show Thomas a picture you took (with permission) of someone in Vinland Saga cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Vinland Saga
 - Show Thomas Vinland Saga merch that you've purchased (online photos don't count!)
 - Give Thomas your best Thorfinn battle pose","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Vinland Saga,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Instinct,srsbznss/Thomas,Exclusive,"In Pokémon Go, be a member of Team Instinct and show Thomas your trainer profile","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Pokemon Go,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Jura-Tempest Federation,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in That Time I Got Reincarnated as a Slime cosplay
 - Show Thomas a picture you took (with permission) of someone in That Time I Got Reincarnated as a Slime cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in That Time I Got Reincarnated as a Slime
 - Show Thomas That Time I Got Reincarnated as a Slime merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",That Time I Got Reincarnated as a Slime,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Kingdom of Science,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Dr. Stone cosplay
 - Show Thomas a picture you took (with permission) of someone in Dr. Stone cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Dr. Stone
 - Show Thomas Dr. Stone merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Dr. Stone,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Lelouch vi Britannia,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Code Geass cosplay
 - Show Thomas a picture you took (with permission) of someone in Code Geass cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Code Geass
 - Show Thomas Code Geass merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Code Geass,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Maomao Approves,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Apothecary Diaries cosplay
 - Show Thomas a picture you took (with permission) of someone in Apothecary Diaries cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Apothecary Diaries, such as Ciarán Strange
 - Show Thomas Apothecary Diaries merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Apothecary Diaries,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
May the Memes Be With You,srsbznss/Thomas,Connection,Tell Thomas your favorite Star Wars meme line,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Star Wars,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Mystic,srsbznss/Thomas,Exclusive,"In Pokémon Go, be a member of Team Mystic and show Thomas your trainer profile","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Pokemon Go,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
No Waifu No Laifu,srsbznss/Thomas,Connection,Tell Thomas who the best girl is and why,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",N/A,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Phantom Troupe,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Hunter X Hunter cosplay
 - Show Thomas a picture you took (with permission) of someone in Hunter X Hunter cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Hunter X Hunter, such as Edward Bosco
 - Show Thomas Hunter X Hunter merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Hunter X Hunter,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
RWBY,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in RWBY cosplay
 - Show Thomas a picture you took (with permission) of someone in RWBY cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest who voiced a member of Team RWBY, such as Lindsay Jones, Kara Eberle, Arryn Zech, or Barbara Dunkelman
 - Show Thomas merch of Team RWBY that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",RWBY,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Shinzou wo Sasageyo,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Attack on Titan cosplay
 - Show Thomas a picture you took (with permission) of someone in Attack on Titan cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Attack on Titan
 - Show Thomas Attack on Titan merch that you've purchased (online photos don't count!)
 - Give Thomas your best Survey Corps. salute","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Attack on Titan,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Sin of Pride,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Seven Deadly Sins cosplay
 - Show Thomas a picture you took (with permission) of someone in Seven Deadly Sins cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in the Seven Deadly Sins
 - Show Thomas Seven Deadly Sins merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Seven Deadly Sins,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
SSSN,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in RWBY cosplay
 - Show Thomas a picture you took (with permission) of someone in cosplaying a member of Team SSSN at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest who voiced a member of Team SSSN, such as Michael Jones
 - Show Thomas merch of Team SSSN that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",RWBY,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Sternritter,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Bleach cosplay
 - Show Thomas a picture you took (with permission) of someone in Bleach cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Bleach
 - Show Thomas Bleach merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Bleach,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
The Midnight,srsbznss/Thomas,Q&A,"Politely approach Thomas and do at least one of the following:
- Play part of one of your favorite songs by The Midnight
- Tell Thomas what 物の哀れ means in English terms","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",The Midnight,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Upper Moon,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be cosplaying a demon from Demon Slayer
 - Show Thomas a picture you took (with permission) of someone cosplaying a demon from Demon Slayer at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a demon in Demon Slayer, such as Jonah Scott
 - Show Thomas Demon Slayer demon merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Demon Slayer,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Valley Life,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Stardew Valley cosplay
 - Show Thomas a picture you took (with permission) of someone in Stardew Valley cosplay at Nebkon 2025
 - Show Thomas a picture of your farm in Stardew Valley
 - Show Thomas a picture taken before/during a Festival of Seasons or Symphony of Seasons performance
 - Show Thomas Stardew Valley merch that you've purchased (online photos don't count!)
 - Tell Thomas who your favorite Stardew Valley NPC is and why","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Stardew Valley,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Valor,srsbznss/Thomas,Exclusive,"In Pokémon Go, be a member of Team Valor and show Thomas your trainer profile","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Pokemon Go,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Vampire the Masquerade,srsbznss/Thomas,Q&A,"Politely approach Thomas, name a clan from Vampire the Masquerade that you like, and tell Thomas why you like the clan","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Vampire the Masquerade,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
+1 friend,Koty,Achievement,Add your name to Komi's list of friends (your own name/nickname/online name or the name of the character you're cosplaying),Cosplaying as Komi Shouko,Komi Can't Communicate,Friday
A decent sized frog,Koty,Connection,Ask for one! Then tell me your favorite plant or the weirdest food you've ever tried,"Maomao blue and green ""hunt/frog scene"" outfit",Apothecary Diaries,"Saturday, Sunday"
Healing Oufuda,Faithy (Shrimpina),Action,Ping me for healing!,Cosplaying as Kiriko from Overwatch 2 (Athleisure Skin),Overwatch,Saturday
Knees for Trees,Dakotah,Achievement,Tell me you speak for the trees,I'll try to be wearing my LED screen backpack,The Lorax,"Friday, Saturday, Sunday"
Crow tendency,Dakotah,Exclusive,Attending crow party Friday or in exchange for a trinket,I'll try to be wearing my LED screen backpack all weekend,Crow party,"Friday, Saturday, Sunday"
You captured lupin the third,Lupin,Action,Capture lupin with the handcuffs,My red blazer and yellow tie,Lupin the third,"Friday, Sunday"
I-Buki-Mio-Da!,Elliot Vendetta (They/Them),Connection,Just come tell me about your favorite Danganronpa game/anime/book! Or (if you haven’t engaged in the fandom yet) what you’re most looking forward to playing/watching!,I will be in Ibuki Mioda cosplay! I will have a red guitar shaped bag with a clear front (inside the clear pocket will be a Danganronpa manga and pins). I will also have a lot of Kandi jewelery! :),Danganronpa,Saturday
I Cast Check Engine Light,Emmy in Pink,Action,Visit my booth in the Artist Alley and follow me on one or more of my socials! (QR codes available to scan at booth),Emmy in Pink - Artist Alley Booth 17,N/A,"Friday, Saturday, Sunday"
I Deserve A Little Treat,Emmy in Pink,Action,Spend $20 or more at my Artist Alley booth,Emmy in Pink - Artist Alley Booth 17,N/A,"Friday, Saturday, Sunday"
Hansel,Mugatu,Achievement,Attend my Panel Waifu Analysis,Dressed as Mugatu on Friday,Zoolander,Friday
Dungeons & Dragons & Me,Emily K.,Exclusive,Attend the Dungeons & Dragons & You Panel on Friday at 7 pm (Limited amounts! Must stay to the end of the panel.),"Will be wearing a black D20 Ita Bag, brown hair and glasses",Dungeons & Dragons,Friday
Speedy Sketcher,Emily K.,Exclusive,Attend the Speed Sketch Trades Panel on Saturday at 1 pm (Must show finished art at the end!),"Will be wearing a black D20 Ita Bag, brown hair and glasses",,Saturday
Blank,Bravo,Achievement,Must find a lucky item of my choosing,Red Staff shirt/half maid outfit or devil outfit/ idol glow sticks/ rose tinted glasses,Nope!,"Friday, Saturday, Sunday"
Vendor's Hall GACHA - Common/Rare/SUPER RARE,Andrew Huggins,Achievement,"First Gacha ""pull"" is free for all attendees, consequtive pulls require a 1 dollar donation to the NJAS",Vendors Hall Staff Table,N/A,"Friday, Saturday, Sunday"
Stackable Boxes,Seth,Action,Find certain objects and do something creative with them.,VIP,,"Friday, Saturday, Sunday"
The Ficus,Seth,Achievement,Locate the missing item and bring it back.,VIP,Rooster Teeth,"Friday, Saturday, Sunday"
Ribbon Hoarder,Pidge - Volunteers,Achievement,Have a certain amount of ribbons. Specific number changes each day.,"I work the Volunteer table, I have facial piercings.",n/a,"Friday, Saturday, Sunday"
You Are Safe With Me,Anonymous,Connection,"word of mouth. If you know, you know.",,,"Friday, Saturday, Sunday"
Side Quest Complete ,Jason Meyers,Achievement,Complete the Dungeons and Desserts side quest adventure Saturday Afternoon between 1pm-3pm,Dressed as a Honey Wizard,No,Saturday
FISHY,Fishy,Connection,Meet Fishy,Wearing a Gold Dishy Necklace,No,"Friday, Saturday"
Visited the Photo Booth,Kile McCurdy,Action,Get your photo taken at the photo booth,Photo Booth,No,"Friday, Saturday, Sunday"
